Company,Role,Location,Posted,Apply By,Level,Source,Note,URL
Nesa Software Pvt Ltd,Embedded Trainee,Kochi,01-08-2026,2026-08-10,Trainee,Infopark page 2,Verified from Infopark public jobs page 2.,https://infopark.in/company-jobs/details/530/24929
Aabasoft Technologies India Private Limited,Internship – Product Consultant,Kochi,01-08-2026,2026-08-14,Internship,Infopark page 2,Verified from Infopark public jobs page 2.,https://infopark.in/company-jobs/details/95/24927
Flycatch Infotech Pvt. Ltd.,Junior Data Engineer,Kochi,03-08-2026,2026-08-10,Junior,Infopark page 1,Verified from Infopark public jobs page 1.,https://infopark.in/company-jobs/details/525/24938
Feathersoft Info Solutions Private Ltd,Apprenticeship Opportunity for Diploma/ B tech Students- Managed Services,Kochi,03-08-2026,2026-09-30,Apprenticeship,Infopark page 1,Verified from Infopark public jobs page 1.,https://infopark.in/company-jobs/details/269/24944
2Base Technologies Pvt Ltd,Associate - System Engineer,Kochi,04-08-2026,2026-08-04,Entry level,Infopark page 1,Verified from Infopark public jobs page 1.,https://infopark.in/company-jobs/details/312/24951
2Base Technologies Pvt Ltd,Associate - QA Engineer,Kochi,04-08-2026,2026-08-04,Entry level,Infopark page 1,Verified from Infopark public jobs page 1.,https://infopark.in/company-jobs/details/312/24949
Apro IT Solutions Pvt Ltd,Associate Backend Developer,Kochi,30-07-2026,2026-08-21,Entry level,Infopark page 2,Verified from Infopark public jobs page 2.,https://infopark.in/company-jobs/details/420/24903
FDC Web Technologies Pvt Ltd,OFFICE ADMINISTRATOR INTERN,Kochi,31-07-2026,2026-09-05,Internship,Infopark page 2,Verified from Infopark public jobs page 2.,https://infopark.in/company-jobs/details/192/24919
Technopark public careers,Coverage check only,Watchlist,2026-08-04,n/a,Source status,Technopark,No verified IT listing rows were captured for Trivandrum in this run.,https://technopark.in/job-search
Broader web search,Coverage check only,Watchlist,2026-08-04,n/a,Source status,Web search,No direct publicly verifiable Bengaluru IT fresher page was captured in this run.,https://www.google.com/search?q=bengaluru+entry+level+software+engineer
Run notes,Source coverage summary,Watchlist,2026-08-04,n/a,Source status,Automation,Infopark page 1: 4 IT roles | Infopark page 2: 4 IT roles | Technopark: 0 IT roles | Bengaluru direct employer pages: 0 IT roles | Naukri verified pages: 0 IT roles,https://infopark.in/companies-job
